[00:00:15.610] (7f57c551a700) DEBUG  send_async; method=GET uri=http://ip-api.com/json/10.46.57.117
[00:00:15.611] (7f57c551a700) TRACE  -> send_async;
[00:00:15.611] (7f57c551a700) DEBUG  handler;
[00:00:15.611] (7f57c551a700) TRACE  <- send_async;
[00:00:15.611] (7f57c5319700) TRACE  -> handler;
[00:00:15.611] (7f57c5319700) DEBUG  handler; id=0
[00:00:15.611] (7f57c5319700) TRACE  <- handler;
[00:00:15.611] (7f57c5319700) TRACE  -> handler;
[00:00:15.612] (7f57c5319700) DEBUG  processing: http://ip-api.com/json/10.46.57.117
[00:00:15.612] (7f57c5319700) TRACE  <- handler;
[00:00:15.612] (7f57c5319700) TRACE  -> handler;
[00:00:15.612] (7f57c5319700) DEBUG  Found bundle for host: 0x7f5794006f90 [serially]
[00:00:15.612] (7f57c5319700) TRACE  <- handler;
[00:00:15.613] (7f57c5319700) TRACE  -> handler;
[00:00:15.613] (7f57c5319700) DEBUG  Can not multiplex, even if we wanted to
[00:00:15.613] (7f57c5319700) TRACE  <- handler;
[00:00:15.613] (7f57c5319700) TRACE  -> handler;
[00:00:15.613] (7f57c5319700) DEBUG  Re-using existing connection with host ip-api.com
[00:00:15.613] (7f57c5319700) TRACE  <- handler;
[00:00:15.613] (7f57c5319700) TRACE  -> handler;
[00:00:15.613] (7f57c5319700) TRACE  <- handler;
[00:00:15.644] (7f57c5319700) TRACE  -> handler;
[00:00:15.644] (7f57c5319700) TRACE  <- handler;
[00:00:15.645] (7f57c5319700) TRACE  -> handler;
[00:00:15.646] (7f57c5319700) TRACE  <- handler;
[00:00:15.646] (7f57c5319700) TRACE  -> handler;
[00:00:15.646] (7f57c5319700) TRACE  <- handler;
[00:00:15.646] (7f57c5319700) TRACE  -> handler;
[00:00:15.646] (7f57c5319700) TRACE  <- handler;
[00:00:15.646] (7f57c5319700) TRACE  -> handler;
[00:00:15.646] (7f57c5319700) TRACE  <- handler;
[00:00:15.646] (7f57c5319700) TRACE  -> handler;
[00:00:15.646] (7f57c5319700) TRACE  <- handler;
[00:00:15.646] (7f57c5319700) TRACE  -> handler;
[00:00:15.646] (7f57c5319700) TRACE  <- handler;
[00:00:15.646] (7f57c5319700) TRACE  -> handler;
[00:00:15.646] (7f57c5319700) TRACE  <- handler;
[00:00:15.646] (7f57c5319700) TRACE  -> handler;
[00:00:15.646] (7f57c5319700) TRACE  <- handler;
[00:00:15.647] (7f57c5319700) TRACE  -> handler;
[00:00:15.647] (7f57c551a700) TRACE  -> send_async;
[00:00:15.647] (7f57c5319700) DEBUG  Connection #0 to host ip-api.com left intact
[00:00:15.647] (7f57c5319700) TRACE  <- handler;
[00:00:15.647] (7f57c551a700) TRACE  <- send_async;
[00:00:15.648] (7f57c551a700) TRACE  -- send_async;
[00:00:15.648] (7f57c5319700) TRACE  -- handler;
[00:00:15.648] (7f57c551a700) INFO   request completed
[00:00:20.579] (7f57c84521c0) DEBUG  Imani: Mutex { data: None }
[00:00:20.630] (7f57c551a700) INFO   sending request
[00:00:20.630] (7f57c551a700) DEBUG  send_async; method=GET uri=http://ip-api.com/json/10.46.57.117
[00:00:20.631] (7f57c551a700) TRACE  -> send_async;
[00:00:20.631] (7f57c551a700) DEBUG  handler;
[00:00:20.631] (7f57c551a700) TRACE  <- send_async;
[00:00:20.631] (7f57c5319700) TRACE  -> handler;
[00:00:20.631] (7f57c5319700) DEBUG  handler; id=0
[00:00:20.631] (7f57c5319700) TRACE  <- handler;
[00:00:20.632] (7f57c5319700) TRACE  -> handler;
[00:00:20.632] (7f57c5319700) DEBUG  processing: http://ip-api.com/json/10.46.57.117
[00:00:20.632] (7f57c5319700) TRACE  <- handler;
[00:00:20.632] (7f57c5319700) TRACE  -> handler;
[00:00:20.632] (7f57c5319700) DEBUG  Found bundle for host: 0x7f5794006f90 [serially]
[00:00:20.632] (7f57c5319700) TRACE  <- handler;
[00:00:20.632] (7f57c5319700) TRACE  -> handler;
[00:00:20.633] (7f57c5319700) DEBUG  Can not multiplex, even if we wanted to
[00:00:20.633] (7f57c5319700) TRACE  <- handler;
[00:00:20.633] (7f57c5319700) TRACE  -> handler;
[00:00:20.633] (7f57c5319700) DEBUG  Re-using existing connection with host ip-api.com
[00:00:20.633] (7f57c5319700) TRACE  <- handler;
[00:00:20.633] (7f57c5319700) TRACE  -> handler;
[00:00:20.633] (7f57c5319700) TRACE  <- handler;
[00:00:20.665] (7f57c5319700) TRACE  -> handler;
[00:00:20.665] (7f57c5319700) TRACE  <- handler;
[00:00:20.665] (7f57c5319700) TRACE  -> handler;
[00:00:20.666] (7f57c5319700) TRACE  <- handler;
[00:00:20.666] (7f57c5319700) TRACE  -> handler;
[00:00:20.666] (7f57c5319700) TRACE  <- handler;
[00:00:20.666] (7f57c5319700) TRACE  -> handler;
[00:00:20.666] (7f57c5319700) TRACE  <- handler;
[00:00:20.666] (7f57c5319700) TRACE  -> handler;
[00:00:20.666] (7f57c5319700) TRACE  <- handler;
[00:00:20.666] (7f57c5319700) TRACE  -> handler;
